|   dropout | bidirectional   | stage   |   hidden_size |     lr |      iou |   precision |   recall |   f1score |   accuracy |
|----------:|:----------------|:--------|--------------:|-------:|---------:|------------:|---------:|----------:|-----------:|
|       0   | False           | valid   |            64 | 0.001  | 0.532508 |    0.670738 | 0.731622 |  0.676824 |   0.746401 |
|       0   | True            | valid   |            64 | 0.001  | 0.532563 |    0.677846 | 0.756145 |  0.673929 |   0.7309   |
|       0.3 | True            | valid   |            64 | 0.001  | 0.515485 |    0.666758 | 0.731177 |  0.666433 |   0.714932 |
|       0.1 | True            | valid   |            32 | 0.001  | 0.501351 |    0.65218  | 0.721562 |  0.644509 |   0.72138  |
|       0.3 | False           | valid   |           128 | 0.001  | 0.486171 |    0.642328 | 0.682887 |  0.636875 |   0.696903 |
|       0.1 | True            | valid   |            64 | 0.0005 | 0.476372 |    0.642355 | 0.702757 |  0.632698 |   0.676356 |
|       0.3 | True            | valid   |            32 | 0.0005 | 0.491983 |    0.639789 | 0.722141 |  0.631583 |   0.72374  |
|       0.3 | False           | valid   |            64 | 0.0005 | 0.494122 |    0.627222 | 0.690504 |  0.629429 |   0.737315 |
|       0   | True            | valid   |           128 | 0.0005 | 0.470997 |    0.64024  | 0.689035 |  0.627929 |   0.666783 |
|       0.1 | False           | valid   |            32 | 0.001  | 0.477296 |    0.641868 | 0.711529 |  0.624868 |   0.682641 |
|       0.1 | False           | valid   |           128 | 0.0001 | 0.416026 |    0.579654 | 0.62498  |  0.558226 |   0.647526 |
|       0   | False           | valid   |           128 | 0.0005 | 0.413666 |    0.580763 | 0.656323 |  0.552416 |   0.655168 |
|       0.1 | True            | valid   |           128 | 0.0001 | 0.408686 |    0.599944 | 0.662685 |  0.549155 |   0.621174 |
|       0   | True            | valid   |            64 | 0.0005 | 0.406463 |    0.582828 | 0.671102 |  0.549095 |   0.635725 |
|       0.3 | False           | valid   |            32 | 0.0005 | 0.425438 |    0.558957 | 0.626973 |  0.54607  |   0.702506 |
|       0.1 | True            | valid   |            32 | 0.0001 | 0.401214 |    0.586571 | 0.640247 |  0.544438 |   0.624713 |
|       0   | False           | valid   |            32 | 0.0001 | 0.383443 |    0.589497 | 0.654197 |  0.528288 |   0.587652 |
|       0.1 | False           | valid   |            64 | 0.0001 | 0.368489 |    0.557048 | 0.583073 |  0.50154  |   0.570098 |
|       0   | True            | valid   |            32 | 0.0005 | 0.378782 |    0.568765 | 0.584285 |  0.498631 |   0.598366 |
|       0.3 | False           | valid   |           128 | 0.0001 | 0.326785 |    0.544168 | 0.576865 |  0.471757 |   0.526436 |
