,stage,seed,fold,model,rocauc,loss,accuracy,precision,recall,f1score,iou
0,train,42,1,MLP,0.19933032143047608,0.24125838362875163,0.9179716629381058,0.8813826297198429,0.8232760919417631,0.8482407407407407,0.7504378009881794
1,valid,42,1,MLP,0.3161976911976912,0.475980012877997,0.7655737704918033,0.6325533950784452,0.6203922340285977,0.6255757154323929,0.49668598672525005
2,test,42,1,MLP,0.39789789789789787,0.4914438433090567,0.75,0.6088680605623648,0.6133633633633634,0.6109578966721825,0.4813725490196078
3,train,42,2,MLP,0.18436380196785754,0.2940924975746064,0.8957388939256573,0.8062615101289135,0.828849126928009,0.8168126013635977,0.7079891759820212
4,valid,42,2,MLP,0.46100671667145804,0.6060860559948114,0.6682615629984051,0.6332113353550141,0.6664662990356218,0.6311013554796225,0.4717954332566938
5,test,42,2,MLP,0.34141791044776115,0.3717988343094523,0.88,0.6919191919191919,0.7126865671641791,0.7014595311808933,0.590465872156013
6,train,42,3,MLP,0.1877630320420851,0.3559808925035398,0.853515625,0.7765467464262645,0.7354615016738403,0.7526012305511709,0.6294815687594681
7,valid,42,3,MLP,0.38981768145854834,0.4746167512070383,0.8079625292740047,0.7047016557325836,0.7254041967664259,0.71371336996337,0.580640623744072
8,test,42,3,MLP,0.467741935483871,0.4718094159739848,0.8169014084507042,0.43283582089552236,0.46774193548387094,0.4496124031007752,0.4084507042253521
9,train,42,4,MLP,0.30041120925982334,0.12878204972953158,0.9661458333333334,0.9303617652629586,0.9152604325312215,0.9226190476190477,0.8617558427643475
10,valid,42,4,MLP,0.48447304392367785,0.9386921002878186,0.654639175257732,0.6680358476474981,0.7016903572800615,0.6436951754385964,0.4777271709101769
11,test,42,4,MLP,0.4516129032258064,0.9396212712794062,0.6951219512195121,0.5810359231411862,0.5782258064516128,0.5794871794871795,0.4427083333333333
12,train,42,5,MLP,0.4938421828908555,0.3799210526289964,0.8426626323751891,0.7153973089616654,0.8128502949852507,0.7450526628096721,0.6192791378749306
13,valid,42,5,MLP,0.5287303058387396,0.8434046162791333,0.6048780487804878,0.6552698227157607,0.7462156317578004,0.5819591651771103,0.4171488954863382
14,test,42,5,MLP,0.2477272727272727,0.5138149853347767,0.7317073170731707,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.5117370892018779
0,train,42,1,LSTM,0.7726263629369279,0.5682630132545125,0.735251274581209,0.6076623445315924,0.6931684534118756,0.6126233654041503,0.4780468735787679
1,valid,42,1,LSTM,0.7292722797737123,0.5915300415621864,0.7593397046046916,0.5767480528572678,0.6771912423774888,0.5784300891859551,0.4620730171595493
2,test,42,1,LSTM,0.6956521739130435,0.6434557437896729,0.7211055276381909,0.5755239224990114,0.6533473320158103,0.5718314773355043,0.44569696256180835
3,train,42,2,LSTM,0.7790658739920733,0.5715815335512161,0.7744052502050861,0.6114129093230081,0.7158962006286729,0.6239848797559224,0.4982275837432332
4,valid,42,2,LSTM,0.7079949825047865,0.635400927066803,0.6065573770491803,0.5753747934505032,0.638027882308928,0.5378076594792002,0.38844452121228223
5,test,42,2,LSTM,0.833516785910842,0.5280806422233582,0.7197640117994101,0.5620294599018003,0.7085855806274077,0.5397773554167797,0.4250132485426603
6,train,42,3,LSTM,0.7564515372147841,0.5847212937143114,0.7124614707177455,0.586740218941319,0.6752175780700076,0.5816205821853944,0.4495008992520553
7,valid,42,3,LSTM,0.8322697069649599,0.5503625869750977,0.6615566037735849,0.6112663656243787,0.7341053587647594,0.5814419834108103,0.43377450060143374
8,test,42,3,LSTM,0.6756561085972852,0.6441740989685059,0.7276422764227642,0.5474759615384616,0.6000904977375565,0.5404689547494912,0.42795962902345885
9,train,42,4,LSTM,0.7927051135395624,0.5491194299289158,0.7659701492537313,0.6287289096080235,0.7197684182344781,0.6422578184591914,0.5092675812715155
