| bidirectional   |     lr |   dropout |   hidden_size | stage   |   num_layers |   patience |   f1score |   accuracy |      iou |   recall |   precision |
|:----------------|-------:|----------:|--------------:|:--------|-------------:|-----------:|----------:|-----------:|---------:|---------:|------------:|
| False           | 0.001  |       0.2 |            64 | valid   |            2 |         10 |  0.866342 |   0.908717 | 0.782821 | 0.85825  |    0.885664 |
| False           | 0.001  |       0.4 |           128 | valid   |            2 |          0 |  0.862181 |   0.906404 | 0.779673 | 0.853124 |    0.880841 |
| False           | 0.001  |       0.4 |            64 | valid   |            2 |         10 |  0.860985 |   0.904845 | 0.778097 | 0.854861 |    0.877004 |
| False           | 0.001  |       0.4 |           128 | valid   |            2 |         20 |  0.860102 |   0.904091 | 0.776229 | 0.851128 |    0.877176 |
| False           | 0.001  |       0.2 |            32 | valid   |            2 |         20 |  0.859648 |   0.904664 | 0.773884 | 0.854327 |    0.871508 |
| False           | 0.001  |       0   |           128 | valid   |            2 |         20 |  0.859438 |   0.904504 | 0.772411 | 0.850654 |    0.877845 |
| True            | 0.001  |       0.4 |           128 | valid   |            2 |         20 |  0.858096 |   0.905751 | 0.768721 | 0.844676 |    0.882758 |
| False           | 0.001  |       0.4 |            64 | valid   |            2 |         20 |  0.856936 |   0.902092 | 0.772166 | 0.851391 |    0.874602 |
| False           | 0.001  |       0.2 |            32 | valid   |            2 |          0 |  0.856841 |   0.904636 | 0.771883 | 0.847624 |    0.88327  |
| False           | 0.001  |       0   |           128 | valid   |            2 |         10 |  0.855792 |   0.901934 | 0.767625 | 0.843982 |    0.877069 |
| False           | 0.0001 |       0   |            32 | valid   |            1 |          0 |  0.676322 |   0.813661 | 0.568719 | 0.683441 |    0.766017 |
| True            | 0.0001 |       0   |            32 | valid   |            2 |         10 |  0.673381 |   0.822905 | 0.572472 | 0.681589 |    0.78309  |
| False           | 0.0001 |       0.2 |            32 | valid   |            1 |         10 |  0.672426 |   0.815528 | 0.566853 | 0.686047 |    0.75806  |
| True            | 0.0001 |       0   |            32 | valid   |            1 |         20 |  0.671695 |   0.814928 | 0.559791 | 0.675564 |    0.76947  |
| True            | 0.0001 |       0.4 |            64 | valid   |            1 |         10 |  0.671417 |   0.815936 | 0.560652 | 0.669556 |    0.775955 |
| False           | 0.0001 |       0.4 |            32 | valid   |            1 |         20 |  0.669978 |   0.810469 | 0.55903  | 0.678281 |    0.746355 |
| True            | 0.0001 |       0.4 |            32 | valid   |            1 |         20 |  0.663073 |   0.805358 | 0.552422 | 0.664712 |    0.761676 |
| True            | 0.0001 |       0.4 |            32 | valid   |            1 |         10 |  0.660846 |   0.80259  | 0.550392 | 0.668814 |    0.76092  |
| True            | 0.0001 |       0.2 |            32 | valid   |            1 |         10 |  0.657131 |   0.804867 | 0.551118 | 0.661288 |    0.761557 |
| False           | 0.0001 |       0   |            32 | valid   |            1 |         10 |  0.652816 |   0.799368 | 0.547531 | 0.667122 |    0.744376 |
