|   hidden_size | bidirectional   |     lr |   patience |   num_layers | stage   |   dropout |   recall |   precision |      iou |   f1score |   accuracy |
|--------------:|:----------------|-------:|-----------:|-------------:|:--------|----------:|---------:|------------:|---------:|----------:|-----------:|
|            32 | True            | 0.001  |          0 |            2 | valid   |       0   | 0.682687 |    0.684683 | 0.52472  |  0.655092 |   0.770443 |
|           128 | False           | 0.0005 |          0 |            1 | valid   |       0.4 | 0.683349 |    0.652336 | 0.528764 |  0.651359 |   0.782481 |
|            64 | True            | 0.0005 |         10 |            1 | valid   |       0   | 0.678684 |    0.658285 | 0.515091 |  0.651008 |   0.753392 |
|            64 | False           | 0.001  |         20 |            2 | valid   |       0   | 0.670394 |    0.658108 | 0.510755 |  0.646644 |   0.746777 |
|           128 | False           | 0.0001 |          0 |            2 | valid   |       0.4 | 0.677697 |    0.682841 | 0.517102 |  0.643205 |   0.766233 |
|            32 | True            | 0.0001 |          0 |            1 | valid   |       0.4 | 0.675674 |    0.680573 | 0.505712 |  0.640054 |   0.747285 |
|           128 | True            | 0.001  |          0 |            1 | valid   |       0.4 | 0.668312 |    0.643057 | 0.506808 |  0.639849 |   0.74782  |
|            64 | True            | 0.0001 |         10 |            1 | valid   |       0   | 0.674537 |    0.659633 | 0.508535 |  0.638168 |   0.759292 |
|            32 | True            | 0.001  |         10 |            1 | valid   |       0.4 | 0.67289  |    0.64597  | 0.508849 |  0.636922 |   0.757408 |
|            64 | True            | 0.0005 |         10 |            2 | valid   |       0.4 | 0.653309 |    0.660352 | 0.512045 |  0.636316 |   0.76782  |
|            32 | False           | 0.0001 |          0 |            2 | valid   |       0.4 | 0.624588 |    0.659904 | 0.46153  |  0.570083 |   0.754545 |
|            64 | False           | 0.0001 |         10 |            2 | valid   |       0.4 | 0.606993 |    0.678813 | 0.46303  |  0.569988 |   0.757153 |
|            64 | True            | 0.0005 |         20 |            2 | valid   |       0.4 | 0.598292 |    0.577616 | 0.452687 |  0.569754 |   0.733539 |
|            32 | True            | 0.0001 |          0 |            2 | valid   |       0   | 0.607833 |    0.686121 | 0.46615  |  0.568853 |   0.763422 |
|            32 | False           | 0.0005 |         10 |            2 | valid   |       0.4 | 0.597616 |    0.629951 | 0.459054 |  0.564024 |   0.752537 |
|            32 | False           | 0.0001 |         10 |            2 | valid   |       0.4 | 0.601467 |    0.666583 | 0.449842 |  0.559324 |   0.733477 |
|            32 | False           | 0.0001 |         20 |            2 | valid   |       0   | 0.618075 |    0.657711 | 0.453051 |  0.555224 |   0.743226 |
|            64 | False           | 0.0001 |         20 |            2 | valid   |       0.4 | 0.605173 |    0.686869 | 0.454723 |  0.55255  |   0.754845 |
|            32 | False           | 0.0001 |         20 |            2 | valid   |       0.2 | 0.600943 |    0.629444 | 0.438919 |  0.543922 |   0.727688 |
|            32 | False           | 0.0001 |         20 |            1 | valid   |       0   | 0.590566 |    0.592528 | 0.420618 |  0.536582 |   0.694773 |
